64,33,51
33,33,82
79,98,77
13,46,45
57,70,43
75,51,75
32,91,44
96,10,52
79,7,26
38,27,100
23,73,42
64,2,3
2,76,71
72,13,16
13,12,6
10,73,95
54,23,89
43,90,33
55,58,6
19,46,62
75,22,45
4,16,94
11,8,84
86,39,90
15,79,100
90,85,23
12,2,69
8,19,54
61,76,13
79,41,66
15,34,77
2,86,8
55,3,64
33,87,53
42,46,26
72,59,58
57,44,18
71,5,50
37,28,94
96,76,57
83,72,20
46,44,87
13,61,56
78,44,40
80,27,36
2,45,57
23,22,71
75,8,31
75,70,5
4,36,91
31,22,22
29,25,14
41,4,2
11,8,74
42,45,18
37,26,89
31,18,54
48,92,15
57,9,43
30,74,86
58,72,19
54,6,44
53,77,2
91,52,13
66,25,68
52,63,100
29,27,10
5,21,85
6,87,47
73,34,93
40,75,32
67,86,22
97,18,71
78,75,57
73,58,13
87,83,13
42,95,67
96,32,79
22,7,33
15,55,37
67,37,8
61,80,83
4,16,29
98,94,3
71,74,96
100,61,16
75,52,63
1,3,75
94,43,73
83,47,16
46,91,55
81,64,71
48,76,62
13,10,52
74,42,49
69,43,57
77,5,79
54,91,63
53,92,52
80,62,90
5,95,53
57,39,33
95,73,87
28,79,36
26,44,18
75,13,25
5,34,89
52,2,51
46,30,87
23,50,84
28,22,2
16,32,63
48,93,14
56,96,90
81,87,28
26,12,6
52,100,77
59,32,94
32,60,44
37,28,55
49,90,68
97,56,95
77,75,22
76,17,14
3,10,98
38,7,22
29,7,34
76,11,54
31,19,83
46,15,6
52,55,44
75,3,40
26,94,5
19,18,95
9,22,15
74,89,87
28,89,2
88,22,94
18,66,20
58,43,87
65,75,38
21,25,20
81,89,8
33,36,45
30,20,63
41,25,35
25,17,23
44,27,38
95,33,58
79,68,87
67,71,18
40,13,21
71,52,87
40,79,69
82,71,34
72,19,57
62,82,25
34,47,40
96,22,4
54,74,17
34,5,69
39,25,71
21,8,44
72,97,47
45,36,27
69,47,52
98,46,27
72,39,31
11,94,71
47,20,15
19,22,1
86,44,56
29,35,10
69,63,36
14,3,27
55,59,76
21,70,7
96,70,1
30,75,32
30,39,73
50,83,100
4,30,37
64,68,27
82,6,74
55,49,88
48,48,61
90,5,96
66,89,67
44,10,60
91,77,54
16,67,33
80,46,82
55,52,44
82,95,59
70,86,8
5,43,97
36,95,56
34,61,27
68,16,27
60,100,91
61,87,10
10,89,12
55,62,52
89,27,10
16,38,93
26,22,13
80,47,78
49,82,52
37,65,38
49,21,29
52,81,53
88,60,38
32,60,16
79,31,1
39,30,10
18,52,14
47,69,53
73,52,59
85,7,82
44,59,58
78,59,35
97,31,1
6,96,8
80,80,72
50,64,5
96,67,87
61,46,6
80,52,56
10,96,19
68,33,22
30,98,11
73,40,46
87,81,100
36,90,16
55,27,86
39,22,67
21,40,29
95,74,54
42,35,78
21,40,9
80,66,7
58,71,90
58,6,5
90,29,6
15,43,58
23,81,45
41,24,56
32,35,66
56,13,66
30,20,66
45,78,97
48,27,20
36,8,24
5,58,4
23,98,11
86,82,98
22,56,99
92,31,16
16,88,50
2,28,18
29,77,10
60,67,44
15,93,40
64,12,17
29,45,47
76,71,80
30,97,16
85,88,41
96,62,39
50,38,57
38,31,46
92,1,24
23,43,2
24,30,9
51,26,66
60,93,89
97,35,10
1,57,83
17,14,37
3,66,22
46,1,16
41,40,38
80,92,100
1,100,55
65,79,87
86,21,5
8,2,28
13,21,47
30,45,39
95,83,95
10,4,40
52,38,58
99,75,76
52,16,16
69,98,41
57,86,86
